CAMIS,GRADE,BORO
40369087,0,BRONX
40369097,-1,MANHATTAN
40369111,0,BROOKLYN
40369139,0,MANHATTAN
40369158,0,STATEN ISLAND
40369165,1,MANHATTAN
40369213,-1,QUEENS
40369262,0,QUEENS
40369287,1,BROOKLYN
40369299,1,BRONX
40369400,1,MANHATTAN
40369418,0,MANHATTAN
40369461,0,MANHATTAN
40369482,1,BROOKLYN
40369495,1,MANHATTAN
40369521,1,MANHATTAN
40369535,0,BROOKLYN
40369580,1,MANHATTAN
40369601,1,BRONX
40369608,0,BROOKLYN
40369619,0,MANHATTAN
40369641,0,BRONX
40369667,0,BROOKLYN
40369669,0,BRONX
40369675,0,QUEENS
40369676,0,BROOKLYN
40369716,0,BROOKLYN
40369724,1,QUEENS
40369759,1,MANHATTAN
40369775,0,MANHATTAN
40369782,0,BROOKLYN
40369810,0,MANHATTAN
40369849,0,QUEENS
40369869,0,MANHATTAN
40369878,1,MANHATTAN
40369895,1,BRONX
40369915,0,BRONX
40369928,1,MANHATTAN
40369940,0,MANHATTAN
40369954,1,MANHATTAN
40369958,0,MANHATTAN
40369983,0,QUEENS
40370015,1,BROOKLYN
40370146,0,MANHATTAN
40370150,1,BRONX
40370167,1,QUEENS
40370168,0,MANHATTAN
40370238,0,QUEENS
40370239,0,QUEENS
40370342,0,BROOKLYN
40370356,1,STATEN ISLAND
40370425,1,BROOKLYN
40370436,1,MANHATTAN
40370463,0,MANHATTAN
40370497,0,MANHATTAN
40370507,0,MANHATTAN
40370519,0,QUEENS
40370638,0,QUEENS
40370759,1,MANHATTAN
40370766,0,MANHATTAN
40370781,0,QUEENS
40370856,0,MANHATTAN
40370910,0,STATEN ISLAND
40370916,1,QUEENS
40370917,0,BROOKLYN
40370935,0,MANHATTAN
40370939,0,QUEENS
40370994,1,BROOKLYN
40371281,0,MANHATTAN
40371313,0,MANHATTAN
40371323,0,QUEENS
40371454,0,MANHATTAN
40371588,0,MANHATTAN
40371614,0,QUEENS
40371684,0,BROOKLYN
40371718,0,MANHATTAN
40371727,1,BROOKLYN
40371771,0,STATEN ISLAND
40371805,0,MANHATTAN
40371807,0,QUEENS
40371906,0,BROOKLYN
40371988,1,QUEENS
40372112,0,BROOKLYN
40372196,0,BRONX
40372262,0,MANHATTAN
40372357,0,STATEN ISLAND
40372417,0,MANHATTAN
40372422,0,QUEENS
40372426,1,QUEENS
40372445,0,QUEENS
40372466,0,MANHATTAN
40372485,0,BROOKLYN
40372596,0,BROOKLYN
40372618,1,QUEENS
40372631,0,BRONX
40372694,0,QUEENS
40372787,1,MANHATTAN
40372831,0,STATEN ISLAND
40372944,1,MANHATTAN
40372971,0,MANHATTAN
40372999,1,BROOKLYN
40373113,0,MANHATTAN
40373118,-1,STATEN ISLAND
40373160,0,BROOKLYN
40373272,0,BROOKLYN
40373318,1,MANHATTAN
40373462,0,MANHATTAN
40373500,0,MANHATTAN
40373597,0,BROOKLYN
40373656,0,MANHATTAN
40373669,0,MANHATTAN
40373794,0,QUEENS
40373888,0,MANHATTAN
40373889,0,MANHATTAN
40373909,0,BROOKLYN
40373912,0,MANHATTAN
40373937,0,MANHATTAN
40373938,0,BRONX
40373984,-1,QUEENS
40374088,1,MANHATTAN
40374131,1,MANHATTAN
40374136,0,BRONX
40374192,0,MANHATTAN
40374259,0,BRONX
40374266,0,MANHATTAN
40374268,1,BROOKLYN
40374277,0,MANHATTAN
40374325,0,MANHATTAN
40374395,0,BROOKLYN
40374415,1,MANHATTAN
40374460,0,QUEENS
40374507,0,BROOKLYN
40374711,0,MANHATTAN
40374814,0,QUEENS
40374834,0,MANHATTAN
40374968,0,MANHATTAN
40374974,0,MANHATTAN
40375108,0,BROOKLYN
40375136,0,BRONX
40375286,0,QUEENS
40375369,0,QUEENS
40375371,0,QUEENS
40375376,1,MANHATTAN
40375521,0,MANHATTAN
40375616,0,MANHATTAN
40375634,0,MANHATTAN
40375699,1,MANHATTAN
40375819,-1,BROOKLYN
40375839,0,MANHATTAN
40375899,0,QUEENS
